# *****		HAND SELECTED		*****
#	extended catalog of pts \ DS9
#	x	y	radius
       2410.4800       2341.9200       28.800000
       2316.8800       2399.5200       23.531956
       2384.5600       2046.7200       69.322242
       2914.4800       2055.3600       18.753159
       2784.8800       2421.1200       16.745446
       2227.6000       1807.6800       16.689345
       3252.8800       2180.6400       15.157257
       2957.6800       1967.5200       13.464465
       2447.9200       1816.3200       24.059218
       2429.2000       2569.9200       17.198392
       2352.8800       2309.2800       40.518069
       2616.4000       1697.2800       20.902228
       2828.0800       1275.3600       33.598846
       2262.1600       1351.6800       20.017990
       3550.9600       1227.8400       16.598590
       3791.4400       1550.4000       17.907491
       3808.7200       1602.2400       17.701780
       3906.6400       1690.0800       16.322217
       2544.4000       1122.7200       18.024028
       1954.0000       1152.9600       20.858830
       1903.6000       1138.5600       17.845218
       2135.4400       1301.2800       14.878570
       2000.0800       1406.4000       18.659273
       2836.7200       1361.7600       11.270393
       2617.8400       1367.5200       17.564252
       2021.6800       1041.6000       80.237901
       2938.9600       1054.5600       16.024384
       1432.7200       1090.5600       14.977503
       1560.8800       1408.8000       9.6724371
       1245.5200       1371.3600       14.609741
       1841.6800       1316.6400       13.415692
       2236.2400       1051.6800       19.131857
       1682.8000       1646.8800       51.354664
       1671.2800       1728.9600       13.332787
       1270.9600       1819.6800       25.537076
       1340.0800       1168.8000       20.130642
       1318.4800       1413.6000       17.053926
       1872.8800       1776.4800       10.784008
       2001.5200       2042.4000       42.567948
       1588.2400       1911.3600       15.009452
       1313.2000       1997.7600       29.675705
       1221.0400       2023.6800       11.423246
       1111.6000       1937.2800       16.408995
       1528.2400       2578.5600       16.752545
       1454.8000       2545.4400       12.835506
       1410.1600       2541.1200       11.015302
       2507.4400       2510.8800       8.8900552
       3035.9200       2332.3200       14.538640
       2098.4800       2152.3200       15.437517
       5119.8227       1265.8648       13.307488
       4281.3583       1330.3620       27.440993
       4886.9159       1706.5960       13.680599
       5157.0877       1513.8209       11.295512
       4348.7221       1586.9178       13.350840
       4107.9324       1608.4168       0.0000000
       4086.4333       1608.4168       11.809702
       1783.9836       1904.0804       7.4307656
       5693.2339       1065.6161       27.522671
       4722.1919       2144.1535       12.712126
       5227.4204       2377.0603       18.936347
       5793.5629       2308.9799       20.293208
       5875.9761       1581.5942       22.482550
       2901.9360       1707.0055       6.5280338
       3722.4844       1513.5137       8.3959149
       1547.4937       2459.4735       14.261971
       6941.5119       2080.8848       13.031026
       7747.7276       1038.1792       24.047375
       7221.0000       787.35652       9.8414182
       12626.382       258.68375       8.6270125
       11031.867       280.18284       14.106487
       12343.311       294.51556       15.225020
       16728.612       1904.8994       17.592574
       17015.267       1836.8190       22.796587
       17330.587       2134.2230       18.828639
       20150.755       2262.8080       12.880183
       20046.843       1517.5064       24.205271
       19409.037       1159.1883       17.486931
       19029.219       1338.3474       18.993800
       19409.037       1363.4296       15.722594
       20365.746       1216.5192       16.525011
       18430.828       1091.1079       15.557228
       20064.759       2506.4643       20.248994
       18065.344       1685.9159       17.191608
       12013.400       2740.8000       6.0702337
       11982.200       2761.2000       5.3574314
       7096.1948       377.78595       11.428540
